story,status,planned,executed,covered,missing,planned_list,executed_list,missing_list,extra_list,extra_same_family_list,extra_diff_family_list,extra_families,status_reason
STRY0070709,GREEN,6,6,6,0,"KPSE01,KPSE02,KPSE03,KPSE04,KPSE05,KPSE06","KPSE01,KPSE02,KPSE03,KPSE04,KPSE05,KPSE06",,,,,,ALL_PLANNED_EXECUTED
STRY0071939,GREEN,18,18,18,0,"KPSE07,KPSE08,KPSE09,KPSE10,KPSE11,KPSE12,KPSE13,KPSE14,KPSE15,KPSE16,KPSE17,KPSE18,KPSE19,KPSE20,KPSE21,KPSE22,KPSE23,KPSE24","KPSE07,KPSE08,KPSE09,KPSE10,KPSE11,KPSE12,KPSE13,KPSE14,KPSE15,KPSE16,KPSE17,KPSE18,KPSE19,KPSE20,KPSE21,KPSE22,KPSE23,KPSE24",,,,,,ALL_PLANNED_EXECUTED
STRY0072638,GREEN,7,7,7,0,"KP01,KP32,KP33,KP34,KP35,KP36,KP37","KP01,KP32,KP33,KP34,KP35,KP36,KP37",,,,,,ALL_PLANNED_EXECUTED
STRY0083447,GREEN,11,11,11,0,"KPSE41,KPSE42,KPSE43,KPSE44,KPSE45,KPSE46,KPSE47,KPSE48,KPSE49,KPSE50,KPSE51","KPSE41,KPSE42,KPSE43,KPSE44,KPSE45,KPSE46,KPSE47,KPSE48,KPSE49,KPSE50,KPSE51",,,,,,ALL_PLANNED_EXECUTED
STRY0084107,GREEN,3,3,3,0,"CEMO701,CEMO702,CEMO703","CEMO701,CEMO702,CEMO703",,,,,,ALL_PLANNED_EXECUTED
STRY0084121,GREEN,1,1,1,0,CEMOAC01,CEMOAC01,,,,,,ALL_PLANNED_EXECUTED
STRY0084135,GREEN,1,1,1,0,CEMO601,CEMO601,,,,,,ALL_PLANNED_EXECUTED
STRY0084158,GREEN,1,1,1,0,CEMO602,CEMO602,,,,,,ALL_PLANNED_EXECUTED
STRY0085912,GREEN,1,1,1,0,IS01,IS01,,,,,,ALL_PLANNED_EXECUTED
STRY0085923,GREEN,1,1,1,0,IS02,IS02,,,,,,ALL_PLANNED_EXECUTED
STRY0085924,GREEN,1,1,1,0,IS03,IS03,,,,,,ALL_PLANNED_EXECUTED
STRY0085928,GREEN,1,1,1,0,IS04,IS04,,,,,,ALL_PLANNED_EXECUTED
STRY0085930,GREEN,2,2,2,0,"IS05,IS06","IS05,IS06",,,,,,ALL_PLANNED_EXECUTED
STRY0085931,GREEN,6,6,6,0,"IS07,IS08,IS09,IS10,IS11,IS12","IS07,IS08,IS09,IS10,IS11,IS12",,,,,,ALL_PLANNED_EXECUTED
STRY0086297,GREEN,11,11,11,0,"IS31,IS32,IS33,IS34,IS35,IS36,IS37,IS38,IS39,IS40,IS41","IS31,IS32,IS33,IS34,IS35,IS36,IS37,IS38,IS39,IS40,IS41",,,,,,ALL_PLANNED_EXECUTED
STRY0086298,GREEN,11,11,11,0,"IS42,IS43,IS44,IS45,IS46,IS47,IS48,IS49,IS50,IS51,IS52","IS42,IS43,IS44,IS45,IS46,IS47,IS48,IS49,IS50,IS51,IS52",,,,,,ALL_PLANNED_EXECUTED
STRY0086330,GREEN,5,5,5,0,"IS117,IS120,IS123,IS126,IS129","IS117,IS120,IS123,IS126,IS129",,,,,,ALL_PLANNED_EXECUTED
STRY0086400,GREEN,5,5,5,0,"IS117,IS120,IS123,IS126,IS129","IS117,IS120,IS123,IS126,IS129",,,,,,ALL_PLANNED_EXECUTED
STRY0086404,GREEN,6,6,6,0,"IS53,IS54,IS55,IS56,IS57,IS58","IS53,IS54,IS55,IS56,IS57,IS58",,,,,,ALL_PLANNED_EXECUTED
STRY0086767,GREEN,2,2,2,0,"KPSE79,KPSE80","KPSE79,KPSE80",,,,,,ALL_PLANNED_EXECUTED
STRY0086774,GREEN,1,1,1,0,KPSE26,KPSE26,,,,,,ALL_PLANNED_EXECUTED
STRY0086775,GREEN,1,1,1,0,KPSE25,KPSE25,,,,,,ALL_PLANNED_EXECUTED
STRY0086776,GREEN,2,2,2,0,"KPSE27,KPSE28","KPSE27,KPSE28",,,,,,ALL_PLANNED_EXECUTED
